hh_g02,unit,region,kg_convwt0,kg_convwt1
602,8C,1,1.18,1.040319
602,8C,2,1.99,1.18103
602,8C,3,2.1,1.151315
602,9,1,.17,
602,9,2,.16,
602,9,3,.18,
602,9A,1,.09,.0597333
602,9A,2,.07,.0793529
602,9A,3,.1,.0717347
602,9B,1,.17,.0918542
602,9B,2,.16,.1082632
602,9B,3,.18,.1301667
602,9C,1,.24,.1177381
602,9C,2,.26,.1017778
602,9C,3,.22,.2114
603,21,1,.79,.79
603,21,2,.52,.52
603,21,3,.25,.25
603,9,1,.18,.1599046
603,9,2,.14,.1599046
603,9,3,.22,.1599046
604,9,1,1.67,1.24421
604,9,2,.95,.3638572
604,9,3,.9399999999999999,.6879999999999999
605,9,1,1.41,1.577984
605,9,2,1.29,1.358947
605,9,3,.96,1.251585
606,21,1,1.62,1.6165
606,21,2,.87,.8705000000000001
606,21,3,.5,.4975
606,4,1,,.088
606,4,2,,.088
606,4,3,,.088
606,9,1,.08,.0781818
606,9,2,.09,.0853809
606,9,3,.14,.1434615
606,9A,1,.05,.129
606,9A,2,.07,.092
606,9A,3,.08,.084
606,9B,1,.08,.2455267
606,9B,2,.09,.2455267
606,9B,3,.14,.2455267
606,9C,1,.09,.17
606,9C,2,.12,.111
606,9C,3,.22,.112
607,9,1,.46,.3185
607,9,2,.41,.31
607,9,3,.4,.418
608,10,1,,.34375
608,10,2,,.3405
608,10,3,,.6278461
608,4,1,,2.345833
608,4,2,,2.728
608,4,3,,2.214333
608,6,1,,.5373333
608,6,2,,.127
608,6,3,,.1885455
608,7,1,,.2555
608,7,2,,.18675
608,7,3,,.3150625
608,9,1,.25,.2533333
608,9,2,.19,.1328
608,9,3,.31,.3284706
609,9,1,.1,.117
609,9,2,.14,.133
609,9,3,.12,.027
702,17,1,.45,
702,17,2,.44,
702,17,3,.39,
702,20,1,,.06925
702,20,2,,.061
702,20,3,,.1415
702,22,1,.06,.0724458
702,22,2,.04,.0698936
702,22,3,.09,.0691042
703,17,1,.26,
703,17,2,.36,
703,17,3,.33,
703,22,1,.12,.2234444
703,22,2,.05,.1074211
703,22,3,.25,.1785385
703,9,1,,.262
703,9,2,,.25
703,9,3,,.25
705,22,1,,.5034999999999999
705,22,2,,.447
705,22,3,,.845
706,22,1,,.163
706,22,2,,.1165
706,22,3,,.112
801,16,1,.21,
801,16,2,.48,
801,16,3,.34,
801,20,1,,.033294
801,20,2,,.033294
801,20,3,,.033294
801,22,1,.66,.4696
801,22,2,.1,.1258025
801,22,3,.33,.12292
801,6,1,.12,.1790263
801,6,2,.13,.224
801,6,3,.15,.1018571
801,7,1,.23,
801,7,2,.24,
801,7,3,.23,
801,9,1,1.02,.9496270999999999
801,9,2,.92,.86975
801,9,3,1.01,.9666167
802,22,1,,.258
802,22,2,,.4493333
802,22,3,,.4816667
802,9,1,1.29,1.142264
802,9,2,.83,.9220271
802,9,3,1.15,1.375147
803,22A,1,,.0245
803,22A,2,,.025
803,22A,3,,.025
803,22B,1,,.0415
803,22B,2,,.036
803,22B,3,,.036
803,22C,1,,.07
803,22C,2,,.0495
803,22C,3,,.052
810,10,1,.35,.3262083
810,10,2,.43,.2828205
810,10,3,.29,.3737879
810,16,1,.47,
810,16,2,.58,
810,16,3,.42,
810,20,1,,.1431053
810,20,2,,.1431053
810,20,3,,.1431053
810,22,1,.75,
810,22,2,.26,
810,22,3,.28,
810,6,1,.2,
810,6,2,.2,
810,6,3,.2,
810,6A,1,.19,.1961489
810,6A,2,.22,.1092
810,6A,3,.21,.1018788
810,6B,1,.17,.2508525
810,6B,2,.23,.19728
810,6B,3,.21,.1518158
810,7,1,.21,.3131818
810,7,2,.4,.2713478
810,7,3,.35,.2584074
810,9,1,.96,
810,9,2,.9399999999999999,
810,9,3,.23,
811,20,1,,.012
811,20,2,,.042
811,20,3,,.018
812,20,1,,.014
